City_id,City_name,Country_name,Link
g309287,Puntarenas,Costa Rica,https://www.tripadvisor.com/Tourism-g309287-Puntarenas_Province_of_Puntarenas-Tourism.html
g297513,Abidjan,Cote D'Ivoire (Ivory Coast),https://www.tripadvisor.com/Tourism-g297513-Abidjan_Lagunes_Region-Tourism.html
g3654735,Worodougou,Cote D'Ivoire (Ivory Coast),https://www.tripadvisor.com/Tourism-g3654735-Worodougou_Region-Tourism.html
g294193,Yamoussoukro,Cote D'Ivoire (Ivory Coast),https://www.tripadvisor.com/Tourism-g294193-Yamoussoukro_Lacs_Region-Tourism.html
g562720,Istria,Croatia,https://www.tripadvisor.com/Tourism-g562720-Istria-Tourism.html
g303809,Karlovac,Croatia,https://www.tripadvisor.com/Tourism-g303809-Karlovac_Karlovac_County_Central_Croatia-Tourism.html
g295374,Zadar,Croatia,https://www.tripadvisor.com/Tourism-g295374-Zadar_Zadar_County_Dalmatia-Tourism.html
g294454,Zagreb,Croatia,https://www.tripadvisor.com/Tourism-g294454-Zagreb_Central_Croatia-Tourism.html
g294454,Zagreb,Croatia,https://www.tripadvisor.com/Tourism-g294454-Zagreb_Central_Croatia-Tourism.html
g609122,Cienfuegos,Cuba,https://www.tripadvisor.com/Tourism-g609122-Cienfuegos_Cienfuegos_Province_Cuba-Tourism.html
g285732,Holguin,Cuba,https://www.tripadvisor.com/Tourism-g285732-Holguin_Holguin_Province_Cuba-Tourism.html
g676767,Beroun,Czech Republic,https://www.tripadvisor.com/Tourism-g676767-Beroun_Central_Bohemian_Region_Bohemia-Tourism.html
g1136615,Blansko,Czech Republic,https://www.tripadvisor.com/Tourism-g1136615-Blansko_South_Moravian_Region_Moravia-Tourism.html
g1136616,Bruntal,Czech Republic,https://www.tripadvisor.com/Tourism-g1136616-Bruntal_Moravian_Silesian_Region_Moravia-Tourism.html
g274689,Cheb,Czech Republic,https://www.tripadvisor.com/Tourism-g274689-Cheb_Karlovy_Vary_Region_Bohemia-Tourism.html
g274690,Chomutov,Czech Republic,https://www.tripadvisor.com/Tourism-g274690-Chomutov_Usti_nad_Labem_Region_Bohemia-Tourism.html
g2002390,Chrudim,Czech Republic,https://www.tripadvisor.com/Tourism-g2002390-Chrudim_Pardubice_Region_Bohemia-Tourism.html
g274691,Decin,Czech Republic,https://www.tripadvisor.com/Tourism-g274691-Decin_Usti_nad_Labem_Region_Bohemia-Tourism.html
g657285,Jihlava,Czech Republic,https://www.tripadvisor.com/Tourism-g657285-Jihlava_Vysocina_Region_Moravia-Tourism.html
g608726,Kladno,Czech Republic,https://www.tripadvisor.com/Tourism-g608726-Kladno_Central_Bohemian_Region_Bohemia-Tourism.html
g274699,Klatovy,Czech Republic,https://www.tripadvisor.com/Tourism-g274699-Klatovy_Pilsen_Region_Bohemia-Tourism.html
g187371,Cologne,Czech Republic,https://www.tripadvisor.com/Tourism-g187371-Cologne_North_Rhine_Westphalia-Tourism.html
g274702,Liberec,Czech Republic,https://www.tripadvisor.com/Tourism-g274702-Liberec_Liberec_Region_Bohemia-Tourism.html
g616079,Louny,Czech Republic,https://www.tripadvisor.com/Tourism-g616079-Louny_Usti_nad_Labem_Region_Bohemia-Tourism.html
g274704,Nymburk,Czech Republic,https://www.tripadvisor.com/Tourism-g274704-Nymburk_Central_Bohemian_Region_Bohemia-Tourism.html
g274718,Olomouc,Czech Republic,https://www.tripadvisor.com/Tourism-g274718-Olomouc_Olomouc_Region_Moravia-Tourism.html
g663655,Opava,Czech Republic,https://www.tripadvisor.com/Tourism-g663655-Opava_Moravian_Silesian_Region_Moravia-Tourism.html
g274705,Pardubice,Czech Republic,https://www.tripadvisor.com/Tourism-g274705-Pardubice_Pardubice_Region_Bohemia-Tourism.html
g1600819,Pelhrimov,Czech Republic,https://www.tripadvisor.com/Tourism-g1600819-Pelhrimov_Vysocina_Region_Moravia-Tourism.html
g1160353,Prachatice,Czech Republic,https://www.tripadvisor.com/Tourism-g1160353-Prachatice_South_Bohemian_Region_Bohemia-Tourism.html
g1136639,Prostejov,Czech Republic,https://www.tripadvisor.com/Tourism-g1136639-Prostejov_Olomouc_Region_Moravia-Tourism.html
g1026919,Rokycany,Czech Republic,https://www.tripadvisor.com/Tourism-g1026919-Rokycany_Pilsen_Region_Bohemia-Tourism.html
g3202898,Semily,Czech Republic,https://www.tripadvisor.com/Tourism-g3202898-Semily_Liberec_Region_Bohemia-Tourism.html
g1173289,Sokolov,Czech Republic,https://www.tripadvisor.com/Tourism-g1173289-Sokolov_Karlovy_Vary_Region_Bohemia-Tourism.html
g608732,Strakonice,Czech Republic,https://www.tripadvisor.com/Tourism-g608732-Strakonice_South_Bohemian_Region_Bohemia-Tourism.html
g946450,Sumperk,Czech Republic,https://www.tripadvisor.com/Tourism-g946450-Sumperk_Olomouc_Region_Moravia-Tourism.html
g274708,Svitavy,Czech Republic,https://www.tripadvisor.com/Tourism-g274708-Svitavy_Pardubice_Region_Bohemia-Tourism.html
g277811,Tabor,Czech Republic,https://www.tripadvisor.com/Tourism-g277811-Tabor_South_Bohemian_Region_Bohemia-Tourism.html
g2543644,Tachov,Czech Republic,https://www.tripadvisor.com/Tourism-g2543644-Tachov_Pilsen_Region_Bohemia-Tourism.html
g676350,Teplice,Czech Republic,https://www.tripadvisor.com/Tourism-g676350-Teplice_Usti_nad_Labem_Region_Bohemia-Tourism.html
g790182,Trutnov,Czech Republic,https://www.tripadvisor.com/Tourism-g790182-Trutnov_Hradec_Kralove_Region_Bohemia-Tourism.html
g1136646,Vsetin,Czech Republic,https://www.tripadvisor.com/Tourism-g1136646-Vsetin_Zlin_Region_Moravia-Tourism.html
g806257,Znojmo,Czech Republic,https://www.tripadvisor.com/Tourism-g806257-Znojmo_South_Moravian_Region_Moravia-Tourism.html
g294307,Ecuador,Democratic Republic of the Congo,https://www.tripadvisor.com/Tourism-g294307-Ecuador-Tourism.html
g294187,Kinshasa,Democratic Republic of the Congo,https://www.tripadvisor.com/Tourism-g294187-Kinshasa-Tourism.html
g3644863,Maniema,Democratic Republic of the Congo,https://www.tripadvisor.com/Tourism-g3644863-Maniema_Province-Tourism.html
g293787,Djibouti,Djibouti,https://www.tripadvisor.com/Tourism-g293787-Djibouti-Tourism.html
